date,user_id,pp_text,tag,like_point
2017-10-25T04:24:09.000Z,benjaminwolff,New York StripPerilla BugakNapa cabbageFermented Anchovy sauceJalape oThe fermented anchovy sauce is a mixture of many ingredients to make a derivative of mayonnaiseHawaiian breadanchoviesfermented anchovy sauceKorean fish sauce and jalape os are the main flavor components of the sauceIt has a very funky complex taste that works extremely well with beefThe condimentKorean fish sauceaka the anchovy sauce is used heavily in kimchi s to speed the fermentation processWe use it in this sauce for its strong umami flavorthemoreyouknowknowledgeispoweranchovysteakbeefbugakkoreanatoboybeautifulinstainstagramnysmediumraretruecookscookingnycnewyork,#knowledge #ispower #anchovy #steak #beef #bugak #korean #atoboy #beautiful #insta #instagram #nys #mediumrare #truecooks #cooking #nyc #newyork,77
2017-10-25T04:24:09.000Z,nicol3p3rry,Yes,,0
2017-10-25T04:24:09.000Z,nicol3p3rry,Yes,,0
2017-10-25T04:24:09.000Z,nicol3p3rry,Yes,,0
2017-10-25T04:24:09.000Z,lava.catering,Nice photo,,0
2017-09-15T23:51:59.000Z,ko_hyoung_sub,trainer teasharp bonkonbrother climber man cling to record cycle maniac fat rider Namsan Bugak riding machine climbing machine Namsan and Bugak maniac,#trainerteasharpbonkonbrotherclimbermanclingtorecordcyclemaniacfatriderNamsanBugakridingmachineclimbingmachineNamsanandBugakmaniac,42
2019-04-09T05:09:24.000Z,nalzomboso3579,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#seaweed #25,56
2019-06-14T12:49:00.000Z,goh_hey,seoultourbugak hikingbukchonanguk cafeonioncafecoffee,#seoul #tour #bugakhiking #bukchon #angukcafe #onioncafe #coffee,129
2019-06-14T12:49:00.000Z,goh_hey,kathong7,,0
2018-08-29T22:16:09.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,,17
2019-06-12T12:54:34.000Z,nalzomboso3579,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#25,29
2018-09-11T06:08:14.000Z,loco_hong,Hotboys cycling day First ride withbradhammondsphoto 180911tuesdayhotboyscyclingdayboysbehotcyclinghotboyscyclingclubteamhotboysnamsanbugakseoulkorea,#tuesday #hotboys #cyclingday #boysbehot #cycling #hotboyscyclingclub #teamhotboys #namsan #bugak #seoul #korea,57
2017-09-07T05:04:56.000Z,kmall24_official,Which YO HI would you pick WannaoneShop korean snacks and get free Wanna One s YO HI,#WannaoneShop,99
2017-09-07T05:04:56.000Z,kmall24_official,koreankoreanfoodfoodiefoodstagraminstafoodfoodpornyohiwannaonewannaoneyohicrackerssnackskoreansnackkmall24freeshippingeventfoodbugakkingkongbobbadaoneteazen,#korean #koreanfood #foodie #foodstagram #instafood #foodporn #yohi #wannaone #wannaoneyohi #crackers #snacks #koreansnack #kmall24 #freeshipping #event #food #bugak #kingkongbob #badaone #teazen,0
2017-09-07T05:04:56.000Z,_calihavens,i would pick the swaggy rapper,,0
2016-09-06T01:39:21.000Z,debrateng_official,palacegroundsgyeongbokgunggyeongbokgungpalacemountbugakbugakjoseondynastykoreantourismtourismkoreadebratengdebratravelsdebrainkorea,#palacegrounds #gyeongbokgung #gyeongbokgungpalace #mountbugak #bugak #joseondynasty #koreantourism #tourismkorea #debrateng #debratravels #debrainkorea,43
2018-12-02T11:07:34.000Z,nalzomboso3579,Vegan crisps Vegetable Seaweed chips kimbugak Bugak25 www ohs co kr,#Vegan #25,27
2017-07-06T13:16:00.000Z,taeo_importfood,TaeO ImportLineIDPk03092012 bugak healthyfoodhealthydietcleanfoodbreakfastkoreankoreansnackkoreanfood,#bugak #healthyfood #healthy #diet #cleanfood #breakfast #korean #koreansnack #koreanfood,22
2016-07-11T05:57:49.000Z,ym_z_,seoulsouthkoreabugakbugaksancityphotographyphotomountainsnorthwestseoulnaturecityscapewanderwanderlustdayasiatravel,#seoul #southkorea #bugak #bugaksan #city #photography #photo #mountains #northwestseoul #nature #cityscape #wander #wanderlust #day #asia #travel,30
2016-07-11T05:57:49.000Z,magnusgjertsen,Nice one,,0
2019-01-03T11:43:47.000Z,nalzomboso3579,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#seaweed #25,60
2016-02-28T12:15:11.000Z,brillianstrong,Seoul bugak mountain skywayseoulbugakuphill,#bugak #uphill,5
2018-09-07T11:08:38.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak Bugak25,#seaweed #25,24
2018-09-07T11:04:53.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak Bugak25,#seaweed #25,24
2018-10-03T07:07:08.000Z,byungchul.yang1facebook.com_,ohbongsanflowerbugakkinmenkaoliangliquor58 alc vol58,#ohbongsan #flower #bugak #kinmen #kaoliangliquor #58alcvol #58,29
2018-09-12T09:19:49.000Z,nalzomboso3579,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,#seaweed #25,23
2020-07-06T13:30:53.000Z,wakafdt,Sahabatsudah tahu kisah Wakaf Habib Bugak yang hasilnya masih dirasakan sampai sekarangAwal mula cerita terjadi pada tahun 1800 anHabib Bugak yang saat itu masih berada di Acehsudah memiliki gagasan untuk mengumpulkan uangguna membeli tanah di Makkah untuk diwakafkan kepada jamaah calon hajiSelain dari dana yang dimilikinya sendiriHabib Bugak menjadi inisiator pengumpulan dana dari masyarakat AcehKetika Habib Bugak berangkat ke Tanah Sucidia membawa bekal dana untuk wakafDan begitu sampainiatan wakaf itu direalisasikannyaDia membeli tanah yang lokasinya kala itu persis di samping Masjidil HaramDi atas tanah itu didirikan penginapan untuk menampung jamaah calon haji asal AcehJamaah pun tak lagi bingung mencari tempat tinggal selama berada di MakkahLalu saat Masjidil Haram direnovasitanah wakaf ini termasuk digunakan untuk perluasan lintasan thawafOleh nadzirpengelolawakafuang ganti rugi digunakan membeli dua bidang tanah di kawasan yang berjarak 500 an meter dari Masjidil HaramTanah itu dibangun hotel oleh pengusaha dengan sistem bagi hasilDari situ lahbonus untuk jamaah Aceh mengalir tiap musim hajiSeperti pada tahun inilebih dari Rp 20 miliar dibagikan kepada seluruh jamaah asal Acehwww wakafdt orgwakafdtbelajarwakafdirumahajaaagymdtmudadaaruttauhiidbugakasyihajibugakasyiacehasyibugak,#belajarwakaf #dirumahaja #aagym #dt #muda #daaruttauhiid #bugakasyi #hajibugakasyi #aceh #asyi #bugak,53
2020-07-06T13:30:53.000Z,kendasahyuyu,MasyaAllah,,0
2020-07-06T13:30:53.000Z,sonafebrina,MashaAllahkabita nya,,1
2020-07-06T13:30:53.000Z,syarifahnirda,Barakallah,,0
2018-09-02T10:20:48.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,17
2019-05-20T10:37:23.000Z,itseljaygee,BUGAK,#BUGAK,12
2019-05-30T06:45:04.000Z,nalzomboso3579,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#seaweed #25,33
2019-05-30T06:45:04.000Z,fitbyrosevegan,helloI am Trying to educate everyone about meatfree muscles and compassionI welcome feedback on my profilethank you for the animals,#for,1
2018-09-05T11:28:38.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak Bugak25,#seaweed #25,19
2013-02-17T15:53:38.000Z,poopies215,toybugak,#toy #bugak,3
2019-05-24T13:49:40.000Z,pintofviewflorence,New menu at Pint of View bugak Korean seaweed chips,#bugak,77
2019-05-24T13:49:40.000Z,pintofviewflorence,adayinflorenceaperitivofirenzebirraitalianaeatereatinfirenzefirenzefirenzefoodflorenceflorencefoodflorenceitalyfoodiesflorencegastropubgiardinidiboboliigersfirenzelungarnofirenzenewmenuoltrarnopalazzopittipintofviewflorencepittipalacepovfirenzesantospiritotheflorentinethefork itthirstyunusualflorencevegetarianoveganovisitflorence,#aperitivofirenze #birraitaliana #eater #eatinfirenze #firenze #firenzefood #florence #florencefood #florenceitaly #foodiesflorence #gastropub #giardinidiboboli #igersfirenze #lungarnofirenze #newmenu #oltrarno #palazzopitti #pintofviewflorence #pittipalace #povfirenze #santospirito #theflorentine #theforkit #thirsty #unusualflorence #vegetariano #vegano #visitflorence,1
2020-01-06T23:29:20.000Z,costcofindsau,Spotted Korean crunchy and crispy roasted seaweed chips for17 99,,30
2020-01-06T23:29:20.000Z,costcofindsau,seaweedseaweedsnackssnackscostcosnackscostcofoodeeeeeatsyumcostcofindscostcofindsaucostcoaustraliabugakcostcobuyscostcodealslidcombekoreanfoodkoreansnacks,#seaweed #seaweedsnacks #snacks #costcosnacks #costcofood #eeeeeats #yum #costcofinds #costcofindsau #costcoaustralia #bugak #costcobuys #costcodeals #lidcombe #koreanfood #koreansnacks,0
2019-05-01T06:44:44.000Z,eamaliehscaloscos,bugak,#bugak,18
2015-11-03T02:12:16.000Z,lihiya,jensvoigt turned uppalgakjeongbugakSeoulkoreacycleshutuplegs,#jensvoigt #palgakjeong #bugak #Seoul #korea #cycle #shutuplegs,4
