,date,user_id,text,like,tag,pp_text,like_point
378,2018-08-27T16:00:40.000Z,iamtikasmith,Boston summer’s got you baked huh?! 😱,102주좋아요 1개답글 달기,,Boston summer s got you baked huh, 1
379,2018-08-27T16:00:40.000Z,iamtikasmith,One of my kids favorite snacks @neicy_naturals 👌🏾,102주좋아요 1개답글 달기,,One of my kids favorite snacksneicy naturals, 1
380,2018-08-27T16:00:40.000Z,kemahz,Going to try it.. thanks Neicy,102주좋아요 1개답글 달기,,Going to try it thanks Neicy, 1
381,2018-08-27T16:00:40.000Z,worcester__gurl_,😂😂,102주답글 달기,,,0
382,2018-08-27T16:00:40.000Z,ohmygim,Excellent 💙 seaweed is 💙 plant has more than 60 minerals 💙 oldest plant on earth 💙 Full of nutritions 💙 keep eating 💙,74주좋아요 1개답글 달기,,Excellent seaweed is plant has more than 60 minerals oldest plant on earth Full of nutritions keep eating, 1
383,2015-10-14T00:25:57.000Z,veganwegmans,Why I love Wegmans. I get an automated call from them. The voice tells me to press 1 if someone in my family is gluten free. I press 1. The call then lets me know that my purchase of @oceanshalo #glutenfree snack has been recalled due to more than acceptable traces of wheat. Bummed about the recall but super impressed by the way Wegmans used its Shoppers Club data to inform its customers. 👍💚 #veganwegmans #whatveganseat #allergymom #seaweedchips #glutenfreevegan,252주,#glutenfree #veganwegmans #whatveganseat #allergymom #seaweedchips #glutenfreevegan,Why I love WegmansI get an automated call from themThe voice tells me to press 1 if someone in my family is gluten freeI press 1The call then lets me know that my purchase ofoceanshaloglutenfree snack has been recalled due to more than acceptable traces of wheatBummed about the recall but super impressed by the way Wegmans used its Shoppers Club data to inform its customersveganwegmanswhatveganseatallergymomseaweedchipsglutenfreevegan,0
384,2015-10-14T00:25:57.000Z,sr_gonza,@e_gonza 😋😋😋,252주답글 달기,,e gonza,0
385,2015-10-14T00:25:57.000Z,xrayeyes24,I love that they do that too! I've gotten calls before about recalled items from them. I think it's great customer service!,252주답글 달기,,I love that they do that tooI ve gotten calls before about recalled items from themI think it s great customer service,0
386,2015-10-14T00:25:57.000Z,urbanlifeathlete,👍,252주답글 달기,,,0
387,2015-10-14T00:25:57.000Z,urbanette,Super cool :),252주답글 달기,,Super cool,0
