,date,user_id,text,like,tag,pp_text,like_point
735,2016-11-02T06:39:19.000Z,bakewarny,어디서파나요,197주답글 달기,,,0
736,2016-11-02T06:39:19.000Z,mjlee1014,온라인에서도 주문 가능하대요!!😍 @bakewarny,197주답글 달기,,bakewarny,0
737,2016-11-02T06:39:19.000Z,mjlee1014,@leedambugak 👈🏻 @bakewarny,197주답글 달기,,leedambugak bakewarny,0
738,2018-10-11T12:52:40.000Z,nalzomboso3579,#seaweed & vegetable chips#Vegan crisps#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인#www.ohs.co.kr,95주,#seaweed #오희숙전통부각#식품명인25호,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,0
739,2018-09-08T11:47:25.000Z,nalzomboso3579,#삼지연휴게소  청송#seaweed & vegetable chips#Vegan crisps#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인#www.ohs.co.kr,100주,#삼지연휴게소 #오희숙전통부각#식품명인25호,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,0
740,2018-09-08T11:47:25.000Z,gz____jg,👌👌👍🌷🤗,100주답글 달기,,,0
741,2018-09-08T11:47:25.000Z,nalzomboso3579,😀😆😉,100주답글 달기,,,0
742,2017-07-07T05:35:13.000Z,taeo_importfood,ทานกับข้าวก็ได้ คือดี อร่อยกรุบกรอบ อยู่ท้อง ไม่อ้วนอีก เปิดจองแล้วนะจ๊ะใครสนใจสามารถสั่งจองได้----------------------------------------------------💬LineID: Pk03092012----------------------------------------------------#อาหารเกาหลี #ขนมเกาหลี #อาหารคลีน #ไดเอท #ขนมแคลต่ำ #อาหารนำเข้า #ขนมนำเข้า #กิมจิ #สาหร่ายบูกัก #สาหร่าย #สาหร่ายทะเล #สาหร่ายเกาหลี #ซุปสาหร่าย #คลีน #ทูโก #อยู่ท้อง #ไม่อ้วน #อร่อย #บูกัก #bugak #มื้อเช้า #อาหารสุขภาพ #healthyfood #healthy #diet #cleanfood #breakfast #korean #koreansnack #koreanfood,161주,#ขนมเกาหลี #อาหารคลีน #ไดเอท #ขนมแคลต่ำ #อาหารนำเข้า #ขนมนำเข้า #กิมจิ #สาหร่ายบูกัก #สาหร่าย #สาหร่ายทะเล #สาหร่ายเกาหลี #ซุปสาหร่าย #คลีน #ทูโก #อยู่ท้อง #ไม่อ้วน #อร่อย #บูกัก #bugak #มื้อเช้า #อาหารสุขภาพ #healthyfood #healthy #diet #cleanfood #breakfast #korean #koreansnack #koreanfood,LineIDPk03092012 bugak healthyfoodhealthydietcleanfoodbreakfastkoreankoreansnackkoreanfood,0
743,2017-02-06T03:45:36.000Z,rubo_k,매주 일요일마다 돌아가면서 food industry 관련된 것들을 발표하는데 이번주에 부각에 대해서 발표했다대학원때 논문 이후로 넘 오랜만에 부각을 접했는데 외국친구들이랑 쉐프가 좋아해서 기분째짐😍...#love #bugak,183주,#bugak,food industrylovebugak,0
744,2017-02-06T03:45:36.000Z,sphuh,저거 ㅋㅋㅋㅋㅋㅋㅋ,183주답글 달기,,,0
745,2017-02-06T03:45:36.000Z,sphuh,맛잇엇지,183주답글 달기,,,0
746,2017-02-06T03:45:36.000Z,sarahjwonee,너의 논문이 기억난다 ㅋㅋㅋ부우가악~,183주답글 달기,,,0
747,2017-02-06T03:45:36.000Z,rubo_k,@hyewonland ㅋㅋㅋ구치 박사님 화이팅이여🤗 @sphuh 너한테 고맙지 🙏🙏🙏 @sarahjwonee ㅋㅋㅋ부우가악 ㅋㅋ외국애들은 걍 노리로 기억하겠데😂 @jeemyung_han 아재....😮😐😒 @bh812.ahn 오오 칭찬을 해주징 웬일루 ㅋㅋㅋ😍 @choucho.u 넹넹ㅎㅎ 다들 먹고 맛있데😋,183주답글 달기,,hyewonland sphuhsarahjwonee jeemyung hanbh812 ahnchoucho u,0
748,2019-09-13T09:03:18.000Z,nalzomboso3579,#풀각시꽃 #물꽃#seaweed crisps#vegetable chips#Vegan crisps#USDA#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인,47주,#풀각시꽃 #물꽃#seaweed #오희숙전통부각#식품명인25호,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,0
749,2018-09-02T10:26:28.000Z,nalzomboso3579,#합천함벽루#라이딩#seaweed & vegetable chips#Korean crisps#김부각#kimbugak#seaweed snack#Bugak 20가지#오희숙전통부각#식품명인25호 부각명인www.ohs.co.kr,101주,#합천함벽루#라이딩#seaweed,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,0
750,2016-04-13T15:58:49.000Z,lizzi3un,"생애 첫 #남북콤보 #라이딩. #업힐에 털리고 어떻게 올라갔는지도 모르겠음.Climbed up to #namsan and #bugak mountain. Since it was my first time going up to a mountain with a #bike, it was extremly challenging and tiring. I am gonna have good night's deep sleep tonight.  #uphillride #로드자전거 #bikeriding #roadbike #야라 #cycling #자덕스타그램 #쿠오타콤 #kuotakom",226주,"#남북콤보 #라이딩. #업힐에 #namsan #bugak #bike, #uphillride #로드자전거 #bikeriding #roadbike #야라 #cycling #자덕스타그램 #쿠오타콤 #kuotakom",Climbed up tonamsan andbugak mountainSince it was my first time going up to a mountain with abikeit was extremly challenging and tiringI am gonna have good night s deep sleep tonightuphillride bikeridingroadbikecyclingkuotakom,0
751,2016-04-13T15:58:49.000Z,rylankind,👌,226주,,,0
752,2016-04-13T15:58:49.000Z,carpe.d_m,잘보고갑니다✌,226주,,,0
753,2016-04-13T15:58:49.000Z,s_3un,프로운동인 같아ㅋㅋㅋㅋㅋ,226주,,,0
754,2017-03-05T05:47:59.000Z,yoonchee,#sunday #morning #ride #dossa #triathlon #namsan #bugak #insadong #gung #dumpling #soup #apgujeong #boundary #coffee #happysunday with #canyon,179주,#sunday #morning #ride #dossa #triathlon #namsan #bugak #insadong #gung #dumpling #soup #apgujeong #boundary #coffee #happysunday #canyon,sundaymorningridedossatriathlonnamsanbugakinsadonggungdumplingsoupapgujeongboundarycoffeehappysunday withcanyon,0
755,2015-11-03T02:12:16.000Z,lihiya,#jensvoigt turned up #palgakjeong #bugak #Seoul #korea #cycle #shutuplegs,249주,#jensvoigt #palgakjeong #bugak #Seoul #korea #cycle #shutuplegs,jensvoigt turned uppalgakjeongbugakSeoulkoreacycleshutuplegs,0
756,2018-10-03T07:07:08.000Z,byungchul.yang1facebook.com_,#ohbongsan #flower #bugak #kinmen #kaoliangliquor #58%alc/vol#오봉산 #꽃부각 #대만 #금문고량주58도,97주,#ohbongsan #flower #bugak #kinmen #kaoliangliquor #58%alc/vol#오봉산 #꽃부각 #대만 #금문고량주58도,ohbongsanflowerbugakkinmenkaoliangliquor58 alc vol58,0
757,2018-08-29T22:16:09.000Z,nalzomboso3579,#여름의 흔적#창포원#seaweed & vegetable chips#Korean crisps#김부각#kimbugak#seaweed snack#Bugak 20가지#오희숙전통부각#식품명인25호 부각명인www.ohs.co.kr,102주,#여름의,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,0
758,2017-11-12T06:07:13.000Z,kimyulkim,"#🍁 🍂Hello #autumn,Goodbye autumn and hello winter#가을안녕 하자마자 가을안녕#autumncolours #maple #turnred #red #Bugak #KR #Seoul #fall #daily #단풍 #레드 #빨강 #북악산 #말바위 #와룡공원 #가을 #등산 #데일리 #일상 #동네뒷산",143주,"#🍁 #autumn,Goodbye #maple #turnred #red #Bugak #KR #Seoul #fall #daily #단풍 #레드 #빨강 #북악산 #말바위 #와룡공원 #가을 #등산 #데일리 #일상 #동네뒷산",Helloautumn Goodbye autumn and hello winterautumncoloursmapleturnredredBugakKRSeoulfalldaily,0
759,2019-09-10T07:58:10.000Z,nalzomboso3579,#seaweed crisps#vegetable chips#Vegan crisps#USDA#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인,48주,#seaweed #오희숙전통부각#식품명인25호,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,0
760,2018-10-04T12:11:54.000Z,nalzomboso3579,#seaweed & vegetable chips#Vegan crisps#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인#www.ohs.co.kr,96주,#seaweed #오희숙전통부각#식품명인25호,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,0
761,2016-09-07T10:26:23.000Z,petruskoreana,"#Repost @seoul_insiders_guide with @repostapp・・・Palgakjeoung located in Mountain Bugak overlooking whole Seoul city. It has awesome scenery, especially at night.#bugak #bugaksan #북악 #북악스카이웨이 #북악산 #palgakjeong#octagonal #pavilion #팔각정 #hiking #둘레길 #성곽길 #서울 #seoul #SIG #coreevoyage #travel #voyage #꼬레보야지 #여행 #여행스타그램 #travelgram",205주,#Repost #bugaksan #북악 #북악스카이웨이 #북악산 #palgakjeong#octagonal #pavilion #팔각정 #hiking #둘레길 #성곽길 #서울 #seoul #SIG #coreevoyage #travel #voyage #꼬레보야지 #여행 #여행스타그램 #travelgram,Repostseoul insiders guide withrepostapp Palgakjeoung located in Mountain Bugak overlooking whole Seoul cityIt has awesome sceneryespecially at nightbugakbugaksanpalgakjeong octagonalpavilion hikingseoulSIGcoreevoyagetravelvoyage travelgram,0
762,2016-09-07T10:26:23.000Z,foucher.demilly,Magnificent 😍👍👍👍,205주답글 달기,,Magnificent,0
763,2016-09-07T10:26:23.000Z,dont0cry,Superb+++😮😍😍😍👍👍👍,205주답글 달기,,Superb,0
764,2014-08-28T08:48:33.000Z,w.lll.s,#bugak #vsco_street #waitforit #seoul,310주,#bugak #vsco_street #waitforit #seoul,bugakvsco streetwaitforitseoul,0
765,2018-09-12T09:22:01.000Z,nalzomboso3579,#seaweed & vegetable chips#Vegan crisps#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인#www.ohs.co.kr,100주,#seaweed #오희숙전통부각#식품명인25호,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,0
766,2019-05-18T23:24:02.000Z,gyo_e82,#일요일아침 빗소리에 잠이깨 #남산 #소월길 #시청 #광화문 #북악스카이웨이 #팔각정 #한바퀴 #아침잠 줄어들면 노화의 시작인가...😵배고파서깼구나😵 #명동성당사거리 왠지 #출근길느낌😂Early #morning #drive thru #namsan #bugak #skyway in #oldcity #seoul#BMW #E82 #E82FAM #1addicts #bimmer #bimmergram #BBSLM #bbswheels #michelin #pilotsport,64주,#일요일아침 #남산 #소월길 #시청 #광화문 #북악스카이웨이 #팔각정 #한바퀴 #아침잠 #명동성당사거리 #출근길느낌😂Early #morning #drive #namsan #bugak #skyway #oldcity #seoul#BMW #E82 #E82FAM #1addicts #bimmer #bimmergram #BBSLM #bbswheels #michelin #pilotsport,Earlymorningdrive thrunamsanbugakskyway inoldcityseoul BMWE82E82FAM1addictsbimmerbimmergramBBSLMbbswheelsmichelinpilotsport,0
767,2019-05-18T23:24:02.000Z,uza_tattooer,잘보고 갑니다.,64주답글 달기,,,0
768,2019-05-18T23:24:02.000Z,bmw135i,#sunnyontilt 👌,64주좋아요 1개답글 달기,#sunnyontilt,sunnyontilt, 1
769,2019-05-11T05:22:11.000Z,nalzomboso3579,#seaweed crisps#vegetable chips#Vegan crisps#USDA#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인,65주,#seaweed #오희숙전통부각#식품명인25호,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,0
770,2017-01-08T16:05:54.000Z,sssuj___,.Stary stary Night🌟.#북악스카이웨이#드라이브#야경#반짝반짝#주말#일상#nightview#of#seoul#bugak#skyway#weekend#daily,187주,,Stary stary Nightnightview of seoul bugak skyway weekend daily,0
771,2017-01-08T16:05:54.000Z,ssooong___,뚜벅이도좀데려가,187주답글 달기,,,0
772,2017-01-08T16:05:54.000Z,sssuj___,@ssooong__ 언제든 콜이징🐾 내사전에 No란 없다ㅋㅋ,187주답글 달기,,ssooong No,0
773,2017-01-08T16:05:54.000Z,hyoge910224,뚜벅이 한명 더 추가요 🙋🏻,187주답글 달기,,,0
774,2017-01-08T16:05:54.000Z,geshkalyan,Доставка кальянов в Шерегеше),187주답글 달기,,,0
